ID объекта;Район;Тип планировки;Количество комнат;Первый/Последний этаж;Общая площадь (м2);Жилая площадь (м2);Площадь кухни (м2);Наличие агенства;Состояние;Стоимость (т.руб.)
496;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;36;19;9;ИСТИНА;3;1200
497;Правобережный;хрущевка;1;ЛОЖЬ;34;18;6;ЛОЖЬ;4;1110
500;Правобережный;брежневка;1;ЛОЖЬ;31;17;6;ЛОЖЬ;4;1070
507;Ленинский;хрущевка;1;ИСТИНА;30;18;6;ЛОЖЬ;5;1100
509;Ленинский;брежневка;1;ИСТИНА;33;17;8;ЛОЖЬ;4;920
510;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;18;9;ЛОЖЬ;4;1230
513;Ленинский;сталинка;1;ЛОЖЬ;33;20;6;ИСТИНА;3;990
516;Орджоникидзевский;сталинка;1;ИСТИНА;32;20;6;ИСТИНА;4;960
518;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;33;17;7;ИСТИНА;4;1050
523;Орджоникидзевский;Нестандартная;1;ИСТИНА;41;19;10;ЛОЖЬ;3;1280
524;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;47;20;12;ИСТИНА;2;1275
525;Правобережный;брежневка;1;ЛОЖЬ;31;17;6;ЛОЖЬ;4;1070
527;Орджоникидзевский;Улучшенная;1;ИСТИНА;41;21;12;ЛОЖЬ;2;1290
528;Правобережный;сталинка;1;ИСТИНА;22;12;5;ЛОЖЬ;3;850
529;Ленинский;сталинка;1;ЛОЖЬ;54;18;9;ИСТИНА;4;980
530;Орджоникидзевский;брежневка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;1080
532;Ленинский;сталинка;1;ИСТИНА;40;20;9;ИСТИНА;3;1200
536;Правобережный;брежневка;1;ИСТИНА;31;18;6;ЛОЖЬ;3;900
539;Правобережный;брежневка;1;ЛОЖЬ;31;18;6;ЛОЖЬ;3;965
541;Ленинский;хрущевка;1;ЛОЖЬ;42;29;6;ЛОЖЬ;4;1270
542;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1150
545;Ленинский;брежневка;1;ЛОЖЬ;34;17;8;ЛОЖЬ;3;1050
548;Правобережный;хрущевка;1;ИСТИНА;30;17;6;ИСТИНА;3;1000
556;Правобережный;брежневка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;1050
558;Ленинский;брежневка;1;ИСТИНА;31;18;6;ИСТИНА;4;920
559;Ленинский;хрущевка;1;ИСТИНА;32;19;6;ЛОЖЬ;3;860
561;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;35;17;8;ЛОЖЬ;3;1070
564;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1150
568;Правобережный;брежневка;1;ИСТИНА;30;30;6;ЛОЖЬ;3;450
571;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;48;26;10;ИСТИНА;4;1500
572;Орджоникидзевский;Нестандартная;1;ИСТИНА;33;18;9;ЛОЖЬ;4;1350
576;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;45;23;14;ЛОЖЬ;4;1295
580;Правобережный;брежневка;1;ЛОЖЬ;32;17;6;ЛОЖЬ;3;1020
585;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;33;17;7;ЛОЖЬ;3;1050
589;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;9;ИСТИНА;3;1100
592;Орджоникидзевский;Нестандартная;1;ИСТИНА;47;21;12;ЛОЖЬ;3;1280
594;Ленинский;хрущевка;1;ЛОЖЬ;31;19;6;ЛОЖЬ;3;1000
596;Правобережный;Нестандартная;1;ЛОЖЬ;33;17;9;ЛОЖЬ;3;1200
601;Правобережный;хрущевка;1;ЛОЖЬ;31;19;6;ЛОЖЬ;3;990
603;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;40;22;12;ЛОЖЬ;4;1580
604;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;49;20;12;ИСТИНА;4;1380
610;Ленинский;брежневка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;920
612;Ленинский;сталинка;1;ИСТИНА;33;20;5;ЛОЖЬ;4;1030
613;Правобережный;Нестандартная;1;ЛОЖЬ;39;19;9;ЛОЖЬ;4;1080
614;Ленинский;сталинка;1;ЛОЖЬ;31;19;5;ЛОЖЬ;4;1100
615;Орджоникидзевский;сталинка;1;ЛОЖЬ;35;18;9;ИСТИНА;3;1200
617;Правобережный;сталинка;1;ИСТИНА;24;12;6;ЛОЖЬ;3;800
618;Ленинский;сталинка;1;ИСТИНА;34;19;8;ЛОЖЬ;5;1400
619;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;32;17;9;ИСТИНА;2;1060
620;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;33;17;7;ЛОЖЬ;3;1150
621;Ленинский;хрущевка;1;ИСТИНА;31;19;6;ЛОЖЬ;3;1020
625;Правобережный;брежневка;1;ЛОЖЬ;31;18;6;ЛОЖЬ;3;965
634;Правобережный;хрущевка;1;ЛОЖЬ;34;17;6;ЛОЖЬ;4;1040
635;Ленинский;сталинка;1;ЛОЖЬ;29;16;6;ИСТИНА;2;600
638;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;31;17;9;ЛОЖЬ;3;1100
641;Правобережный;сталинка;1;ЛОЖЬ;32;17;5;ЛОЖЬ;3;970
647;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;43;20;11;ЛОЖЬ;3;1440
650;Правобережный;сталинка;1;ИСТИНА;22;12;6;ИСТИНА;3;850
652;Орджоникидзевский;Нестандартная;1;ИСТИНА;40;18;9;ИСТИНА;4;1300
653;Ленинский;сталинка;1;ИСТИНА;31;16;6;ИСТИНА;3;1070
657;Орджоникидзевский;сталинка;1;ИСТИНА;30;17;5;ЛОЖЬ;3;880
663;Правобережный;брежневка;1;ЛОЖЬ;32;19;7;ЛОЖЬ;4;1100
664;Ленинский;хрущевка;1;ИСТИНА;32;19;6;ЛОЖЬ;3;920
666;Орджоникидзевский;сталинка;1;ЛОЖЬ;30;18;6;ИСТИНА;4;980
667;Ленинский;хрущевка;1;ИСТИНА;30;18;6;ИСТИНА;5;1100
669;Орджоникидзевский;свердловский вариант;1;ИСТИНА;36;18;9;ЛОЖЬ;3;1100
673;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;46;20;12;ЛОЖЬ;5;1400
678;Ленинский;сталинка;1;ИСТИНА;35;16;9;ЛОЖЬ;2;960
681;Ленинский;хрущевка;1;ИСТИНА;31;19;6;ИСТИНА;3;930
686;Орджоникидзевский;Улучшенная;1;ИСТИНА;40;18;11;ЛОЖЬ;4;1500
688;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;48;21;13;ЛОЖЬ;4;1400
692;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;35;18;8;ЛОЖЬ;4;1070
693;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;46;20;12;ЛОЖЬ;5;1400
695;Ленинский;сталинка;1;ИСТИНА;38;21;8;ЛОЖЬ;3;650
700;Орджоникидзевский;свердловский вариант;1;ИСТИНА;32;17;9;ИСТИНА;3;1200
705;Орджоникидзевский;свердловский вариант;1;ИСТИНА;36;19;9;ЛОЖЬ;5;1150
706;Правобережный;хрущевка;1;ЛОЖЬ;31;19;6;ЛОЖЬ;3;1000
707;Правобережный;хрущевка;1;ИСТИНА;31;19;6;ЛОЖЬ;3;970
708;Ленинский;брежневка;1;ЛОЖЬ;33;17;8;ЛОЖЬ;5;1270
712;Ленинский;хрущевка;1;ИСТИНА;33;18;6;ИСТИНА;3;1060
718;Правобережный;Нестандартная;1;ЛОЖЬ;42;20;10;ИСТИНА;3;1450
721;Орджоникидзевский;Нестандартная;1;ИСТИНА;64;38;13;ЛОЖЬ;5;1730
722;Орджоникидзевский;Улучшенная;1;ИСТИНА;40;19;11;ЛОЖЬ;4;1500
723;Правобережный;Улучшенная;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1100
724;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;40;19;9;ЛОЖЬ;4;1230
726;Ленинский;сталинка;1;ИСТИНА;32;18;7;ЛОЖЬ;4;1050
727;Орджоникидзевский;сталинка;1;ЛОЖЬ;36;18;8;ЛОЖЬ;3;1120
730;Ленинский;сталинка;1;ИСТИНА;42;20;6;ЛОЖЬ;3;1080
736;Ленинский;сталинка;1;ЛОЖЬ;35;19;7;ИСТИНА;4;1100
740;Ленинский;сталинка;1;ИСТИНА;34;19;5;ЛОЖЬ;4;1080
742;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;35;17;9;ЛОЖЬ;3;1070
751;Орджоникидзевский;Улучшенная;1;ЛОЖЬ;35;17;8;ЛОЖЬ;4;1070
757;Ленинский;сталинка;1;ИСТИНА;38;21;8;ЛОЖЬ;3;650
768;Правобережный;брежневка;1;ИСТИНА;31;18;6;ЛОЖЬ;3;1030
769;Правобережный;брежневка;1;ЛОЖЬ;32;17;6;ЛОЖЬ;4;1030
770;Орджоникидзевский;сталинка;1;ЛОЖЬ;36;18;8;ЛОЖЬ;3;1120
773;Правобережный;брежневка;1;ИСТИНА;30;17;6;ЛОЖЬ;3;1100
774;Ленинский;брежневка;1;ИСТИНА;30;18;6;ЛОЖЬ;3;980
775;Правобережный;брежневка;1;ЛОЖЬ;31;16;6;ЛОЖЬ;4;1080
777;Орджоникидзевский;сталинка;1;ИСТИНА;29;16;6;ИСТИНА;3;650
781;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;3;1090
783;Ленинский;сталинка;1;ИСТИНА;33;20;6;ЛОЖЬ;3;990
785;Ленинский;сталинка;1;ИСТИНА;31;19;5;ЛОЖЬ;3;1100
794;Ленинский;сталинка;1;ЛОЖЬ;35;19;8;ЛОЖЬ;4;1050
795;Правобережный;брежневка;1;ЛОЖЬ;32;17;7;ЛОЖЬ;4;1130
796;Правобережный;сталинка;1;ИСТИНА;30;17;5;ЛОЖЬ;3;950
797;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;43;20;12;ЛОЖЬ;4;1350
801;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;45;20;12;ЛОЖЬ;2;1350
804;Орджоникидзевский;сталинка;1;ЛОЖЬ;30;17;6;ЛОЖЬ;3;880
806;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;45;22;14;ЛОЖЬ;3;1295
807;Ленинский;брежневка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;920
808;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;48;20;10;ИСТИНА;4;1350
809;Правобережный;Нестандартная;1;ЛОЖЬ;31;16;8;ЛОЖЬ;3;1070
810;Правобережный;хрущевка;1;ИСТИНА;31;17;6;ИСТИНА;3;960
811;Правобережный;сталинка;1;ИСТИНА;30;17;6;ЛОЖЬ;3;900
821;Орджоникидзевский;сталинка;1;ЛОЖЬ;30;17;6;ЛОЖЬ;4;900
823;Орджоникидзевский;свердловский вариант;1;ИСТИНА;36;19;9;ЛОЖЬ;5;1150
824;Орджоникидзевский;Улучшенная;1;ИСТИНА;38;18;9;ИСТИНА;3;1230
829;Орджоникидзевский;Нестандартная;1;ЛОЖЬ;45;22;11;ЛОЖЬ;3;1320
832;Правобережный;Нестандартная;1;ЛОЖЬ;50;30;9;ЛОЖЬ;4;1500
834;Ленинский;сталинка;1;ИСТИНА;40;18;10;ИСТИНА;3;1200
835;Правобережный;брежневка;1;ИСТИНА;31;18;6;ЛОЖЬ;4;1050
839;Правобережный;сталинка;1;ИСТИНА;30;17;6;ЛОЖЬ;3;900
840;Ленинский;хрущевка;1;ИСТИНА;33;19;6;ЛОЖЬ;3;920
844;Правобережный;брежневка;1;ЛОЖЬ;32;17;6;ЛОЖЬ;4;1000
850;Орджоникидзевский;сталинка;1;ИСТИНА;22;12;6;ИСТИНА;4;880
